"RECTYPE","ORDUNIQ","CUSTOMER","ORDDATE","EXPDATE","PONUMBER","REFERENCE","POSTINV"
"RECTYPE","ORDUNIQ","LINENUM","ITEM","QTYORDERED","QTYSHIPPED","PRIUNTPRC"
"RECTYPE","ORDUNIQ","LINENUM","SERIALNUMF"
"RECTYPE","ORDUNIQ","LINENUM","LOTNUMF"
"RECTYPE","ORDUNIQ","PAYMENT"
"RECTYPE","ORDUNIQ","UNIQUIFIER"
"RECTYPE","ORDUNIQ","OPTFIELD","VALUE"
"1",66867,"FAS0350","20110302",20110306,"350/304840","FAS-1127","0"
"2",66867,1,"07024604",2,0,313.16
"2",66867,5,"191288",4,0,260.53
"2",66867,6,"38324076",1,0,186.84
"2",66867,7,"38271476",1,0,244.74
"2",66867,8,"152467676",1,0,186.84
"2",66867,9,"152465676",1,0,244.74
"2",66867,10,"57354076",1,0,186.84
"5",66867,32
"7",66867,"REP","WAREHOUSE"
"1",66866,"FOS0343","20110302",20110306,"343/304840","FOS-1127","0"
"2",66866,1,"07024602",1,0,250
"2",66866,3,"191479",1,0,197.37
"2",66866,4,"287016",1,0,281.58
"2",66866,5,"287020",1,0,86.84
"2",66866,6,"080005",1,0,197.37
"5",66866,32
"7",66866,"REP","WAREHOUSE"
"1",66868,"FOS0360","20110302",20110306,"360/304840","FOS-1127","0"
"2",66868,1,"10016283",2,0,286.84
"2",66868,2,"191289",1,0,313.16
"2",66868,3,"57354076",1,0,186.84
"2",66868,4,"287020",1,0,86.84
"2",66868,5,"080007",1,0,365.79
"5",66868,32
"7",66868,"REP","WAREHOUSE"
"1",66870,"FOS0414","20110302",20110306,"414/304840","FOS-1127","0"
"2",66870,1,"286020",1,0,86.84
"2",66870,2,"07024604",1,0,313.16
"2",66870,4,"07024602",2,0,250
"2",66870,8,"10016283",1,0,286.84
"2",66870,9,"1025546",1,0,286.84
"2",66870,10,"191289",2,0,313.16
"5",66870,32
"7",66870,"REP","WAREHOUSE"
